ticket_id,text,category
1,"Cancel my renewal, I don't want to be charged next month. Please help ASAP.",Cancellation Request
2,"My order is stuck in customs, what should I do? Let me know what you need from me.",Shipping and Delivery
3,My credit card was billed $169 but my plan only costs $19. Please refund the difference. This is quite urgent.,Billing and Payments
4,"The app is extremely slow today, is there an outage? Appreciate any update on this.",Technical Issue
5,My credit card was billed $38 but my plan only costs $18. Please refund the difference. Thanks in advance.,Billing and Payments
6,I forgot my password and the reset email never arrives. Appreciate any update on this.,Account Access
7,"I'm unsubscribing from your service, please confirm cancellation. Thanks in advance.",Cancellation Request
8,Is there a student discount available for your service? Appreciate any update on this.,Product Inquiry
9,The search filter in the mobile app returns results from the wrong category. This is quite urgent.,Bug Report
10,Can I change the shipping address for order #205907 before it ships? Let me know what you need from me.,Shipping and Delivery
11,Two-factor authentication code never gets sent to my phone. Thank you!,Account Access
12,"The app is extremely slow today, is there an outage? Thanks in advance.",Technical Issue
13,Two-factor authentication code never gets sent to my phone. Please help ASAP.,Account Access
14,The calendar widget shows the wrong timezone after daylight savings. This is quite urgent.,Bug Report
15,"Cancel my renewal, I don't want to be charged next month. Thanks in advance.",Cancellation Request
16,My account got locked after too many failed login attempts.,Account Access
17,"My order is stuck in customs, what should I do? Appreciate any update on this.",Shipping and Delivery
18,I keep getting timeout errors when connecting to the server.,Technical Issue
19,The page won't load and just shows a blank white screen. Appreciate any update on this.,Technical Issue
20,I need to change the email address linked to my account. Please help ASAP.,Account Access
21,Tracking says delivered but I never received the package. Please help ASAP.,Shipping and Delivery
22,"The package arrived damaged, several items were broken inside. Thank you!",Shipping and Delivery
23,Requesting cancellation and a refund for the unused period. Appreciate any update on this.,Cancellation Request
24,Does the API support integration with Google Sheets? This is quite urgent.,Product Inquiry
25,"The app is extremely slow today, is there an outage? Let me know what you need from me.",Technical Issue
26,My order #246316 was supposed to arrive yesterday but tracking shows nothing. Appreciate any update on this.,Shipping and Delivery
27,Could you integrate the API with Slack for team updates? Let me know what you need from me.,Feature Request
28,My credit card was billed $161 but my plan only costs $12. Please refund the difference. Please help ASAP.,Billing and Payments
29,your dashboard crashes randomly and I lose all my unsaved work. This is quite urgent.,Technical Issue
30,Requesting cancellation and a refund for the unused period. Thank you!,Cancellation Request
31,the checkout page keeps freezing every time I try to open it. Please help ASAP.,Technical Issue
32,The payment failed but the amount was still deducted from my bank account. Appreciate any update on this.,Billing and Payments
33,I would like to cancel my subscription effective immediately. Thank you!,Cancellation Request
34,What's the difference between the Pro and Enterprise plans?,Product Inquiry
35,Can you add bulk export functionality to my account settings? Thank you!,Feature Request
36,"The app is extremely slow today, is there an outage? Appreciate any update on this.",Technical Issue
37,Requesting cancellation and a refund for the unused period. Please help ASAP.,Cancellation Request
38,It would help to have a mobile notification setting for alerts. Please help ASAP.,Feature Request
39,Can I change the shipping address for order #377370 before it ships?,Shipping and Delivery
40,I forgot my password and the reset email never arrives. Thank you!,Account Access
41,The payment failed but the amount was still deducted from my bank account. This is quite urgent.,Billing and Payments
42,"I'm unsubscribing from your service, please confirm cancellation. Thanks in advance.",Cancellation Request
43,Can you add bulk export functionality to the browser extension? Let me know what you need from me.,Feature Request
44,Please add multi-language support for non-English users.,Feature Request
45,"I can't upload files, the progress bar gets stuck at 40%. Let me know what you need from me.",Technical Issue
46,My credit card was billed $156 but my plan only costs $12. Please refund the difference. Thanks in advance.,Billing and Payments
47,Charts fail to render when the dataset has more than 1000 rows. This is quite urgent.,Bug Report
48,"Cancel my renewal, I don't want to be charged next month.",Cancellation Request
49,Tracking says delivered but I never received the package. Let me know what you need from me.,Shipping and Delivery
50,"Please cancel order #802729, I no longer need it. This is quite urgent.",Cancellation Request
51,"I can't upload files, the progress bar gets stuck at 40%. Appreciate any update on this.",Technical Issue
52,How do I recover my account after losing access to my old email? Appreciate any update on this.,Account Access
53,Could you integrate the subscription plan with Slack for team updates? Thanks in advance.,Feature Request
54,my account settings keeps freezing every time I try to open it. Please help ASAP.,Technical Issue
55,"I was charged twice for my subscription this month, can someone check my invoice? Let me know what you need from me.",Billing and Payments
56,Please stop auto-renewal on my account starting next cycle. Appreciate any update on this.,Cancellation Request
57,The search filter in the desktop client returns results from the wrong category. Appreciate any update on this.,Bug Report
58,Video calls keep dropping after a few minutes on your dashboard. Thanks in advance.,Technical Issue
59,My credit card was billed $172 but my plan only costs $10. Please refund the difference. This is quite urgent.,Billing and Payments
60,I forgot my password and the reset email never arrives.,Account Access
61,Tracking says delivered but I never received the package. Thank you!,Shipping and Delivery
62,Can I use the checkout page on multiple devices at the same time? Please help ASAP.,Product Inquiry
63,Please consider adding keyboard shortcuts for common actions. This is quite urgent.,Feature Request
64,Clicking 'export' produces a corrupted CSV file. Thanks in advance.,Bug Report
65,What languages does your dashboard currently support? Appreciate any update on this.,Product Inquiry
66,Could you integrate my account settings with Slack for team updates? Please help ASAP.,Feature Request
67,"The package arrived damaged, several items were broken inside. This is quite urgent.",Shipping and Delivery
68,It would help to have a mobile notification setting for alerts. This is quite urgent.,Feature Request
69,I received the wrong item in my order #852787. This is quite urgent.,Shipping and Delivery
70,Is there a student discount available for your service? Thanks in advance.,Product Inquiry
71,Two-factor authentication code never gets sent to my phone. Thank you!,Account Access
72,I can't log in even though I'm entering the correct credentials. Please help ASAP.,Account Access
73,There's a glitch where duplicate notifications get sent for one event. Thank you!,Bug Report
74,Does the browser extension support integration with Google Sheets? Please help ASAP.,Product Inquiry
75,Requesting the ability to schedule recurring reports automatically. Appreciate any update on this.,Feature Request
76,I need an updated invoice for order #377746 for my accounting records. This is quite urgent.,Billing and Payments
77,The calendar widget shows the wrong timezone after daylight savings. This is quite urgent.,Bug Report
78,"Please cancel order #817870, I no longer need it. This is quite urgent.",Cancellation Request
79,Can I export my data if I switch to a competitor? Please help ASAP.,Product Inquiry
80,"The package arrived damaged, several items were broken inside.",Shipping and Delivery
81,My session keeps logging me out every few minutes. Appreciate any update on this.,Account Access
82,Can I export my data if I switch to a competitor? Please help ASAP.,Product Inquiry
83,I keep getting timeout errors when connecting to the server. This is quite urgent.,Technical Issue
84,Two-factor authentication code never gets sent to my phone. Thank you!,Account Access
85,I want to update my billing address and payment method on file. Thanks in advance.,Billing and Payments
86,"Please cancel order #321231, I no longer need it.",Cancellation Request
87,I need an updated invoice for order #131244 for my accounting records. Please help ASAP.,Billing and Payments
88,Requesting a receipt for the payment made on #719176. Thank you!,Billing and Payments
89,There's a glitch where duplicate notifications get sent for one event. Let me know what you need from me.,Bug Report
90,Please consider adding keyboard shortcuts for common actions. Please help ASAP.,Feature Request
91,The page won't load and just shows a blank white screen. Please help ASAP.,Technical Issue
92,"Cancel my renewal, I don't want to be charged next month. Thank you!",Cancellation Request
93,My account got locked after too many failed login attempts. Appreciate any update on this.,Account Access
94,The courier left the package at the wrong address. Let me know what you need from me.,Shipping and Delivery
95,How do I recover my account after losing access to my old email? Please help ASAP.,Account Access
96,Do you offer a free trial before committing to a subscription? This is quite urgent.,Product Inquiry
97,"I was charged twice for my subscription this month, can someone check my invoice? Let me know what you need from me.",Billing and Payments
98,"The package arrived damaged, several items were broken inside. Let me know what you need from me.",Shipping and Delivery
99,What languages does the checkout page currently support? Appreciate any update on this.,Product Inquiry
100,I would like to cancel my subscription effective immediately.,Cancellation Request
101,Could you integrate the API with Slack for team updates? This is quite urgent.,Feature Request
102,"Someone else seems to have access to my account, please help. Please help ASAP.",Account Access
103,The search filter in my account settings returns results from the wrong category.,Bug Report
104,The page won't load and just shows a blank white screen. This is quite urgent.,Technical Issue
105,"Cancel my renewal, I don't want to be charged next month. Let me know what you need from me.",Cancellation Request
106,Requesting a receipt for the payment made on #460663. Thanks in advance.,Billing and Payments
107,Please stop auto-renewal on my account starting next cycle. Thanks in advance.,Cancellation Request
108,How do I recover my account after losing access to my old email?,Account Access
109,Why was I charged a late fee when I paid on time? Please help ASAP.,Billing and Payments
110,I want to downgrade my plan and stop future billing. Appreciate any update on this.,Cancellation Request
111,I need to change the email address linked to my account.,Account Access
112,The page won't load and just shows a blank white screen.,Technical Issue
113,The courier left the package at the wrong address.,Shipping and Delivery
114,Is there a student discount available for your service? Let me know what you need from me.,Product Inquiry
115,The page won't load and just shows a blank white screen. Appreciate any update on this.,Technical Issue
116,I need to change the email address linked to my account. Thanks in advance.,Account Access
117,I need an updated invoice for order #900581 for my accounting records. Thanks in advance.,Billing and Payments
118,How do I recover my account after losing access to my old email? Let me know what you need from me.,Account Access
119,Can you explain why my monthly bill suddenly increased? Appreciate any update on this.,Billing and Payments
120,Please stop auto-renewal on my account starting next cycle. Thanks in advance.,Cancellation Request
121,the subscription plan crashes randomly and I lose all my unsaved work. Appreciate any update on this.,Technical Issue
122,How do I recover my account after losing access to my old email? Thank you!,Account Access
123,Requesting the ability to schedule recurring reports automatically. This is quite urgent.,Feature Request
124,I keep getting timeout errors when connecting to the server. Please help ASAP.,Technical Issue
125,Found a bug: the dark mode toggle resets every time I refresh the browser extension. This is quite urgent.,Bug Report
126,I need an updated invoice for order #543143 for my accounting records. Appreciate any update on this.,Billing and Payments
127,Do you offer a free trial before committing to a subscription? Let me know what you need from me.,Product Inquiry
128,My credit card was billed $45 but my plan only costs $10. Please refund the difference. Appreciate any update on this.,Billing and Payments
129,"My order is stuck in customs, what should I do?",Shipping and Delivery
130,Video calls keep dropping after a few minutes on my account settings. Thank you!,Technical Issue
131,The drag-and-drop feature stopped working after the latest update. Thank you!,Bug Report
132,"Numbers in the report are off by a factor of 10, looks like a bug. Please help ASAP.",Bug Report
133,Do you offer a free trial before committing to a subscription? Appreciate any update on this.,Product Inquiry
134,Please stop auto-renewal on my account starting next cycle. Appreciate any update on this.,Cancellation Request
135,I can't log in even though I'm entering the correct credentials. This is quite urgent.,Account Access
136,Please add multi-language support for non-English users. Please help ASAP.,Feature Request
137,Is there a student discount available for your service? Thank you!,Product Inquiry
138,The drag-and-drop feature stopped working after the latest update. Please help ASAP.,Bug Report
139,Does the checkout page support integration with Google Sheets? Let me know what you need from me.,Product Inquiry
140,Tracking says delivered but I never received the package. Thanks in advance.,Shipping and Delivery
141,Could you integrate my account settings with Slack for team updates? Thank you!,Feature Request
142,How long does international shipping usually take? Thank you!,Shipping and Delivery
143,A dark theme and customizable dashboards would improve usability a lot. Thank you!,Feature Request
144,"The package arrived damaged, several items were broken inside. Appreciate any update on this.",Shipping and Delivery
145,Does the subscription plan support integration with Google Sheets? Let me know what you need from me.,Product Inquiry
146,Why was I charged a late fee when I paid on time? This is quite urgent.,Billing and Payments
147,How long does international shipping usually take? Let me know what you need from me.,Shipping and Delivery
148,Requesting the ability to schedule recurring reports automatically. Thanks in advance.,Feature Request
149,Can I export my data if I switch to a competitor? Appreciate any update on this.,Product Inquiry
150,How do I recover my account after losing access to my old email? Please help ASAP.,Account Access
151,Found a bug: the dark mode toggle resets every time I refresh the browser extension. Thank you!,Bug Report
152,My session keeps logging me out every few minutes. This is quite urgent.,Account Access
153,Can you add bulk export functionality to the desktop client? Please help ASAP.,Feature Request
154,Please add multi-language support for non-English users. Thanks in advance.,Feature Request
155,Please add multi-language support for non-English users. This is quite urgent.,Feature Request
156,"Please cancel order #329258, I no longer need it. Thank you!",Cancellation Request
157,Please stop auto-renewal on my account starting next cycle. Thanks in advance.,Cancellation Request
158,What's the difference between the Pro and Enterprise plans? Please help ASAP.,Product Inquiry
159,Could you integrate the subscription plan with Slack for team updates? Thank you!,Feature Request
160,Can you explain why my monthly bill suddenly increased?,Billing and Payments
161,Two-factor authentication code never gets sent to my phone. This is quite urgent.,Account Access
162,Please stop auto-renewal on my account starting next cycle.,Cancellation Request
163,My order #338968 was supposed to arrive yesterday but tracking shows nothing. Thank you!,Shipping and Delivery
164,Is there a student discount available for your service? Let me know what you need from me.,Product Inquiry
165,The courier left the package at the wrong address. Thank you!,Shipping and Delivery
166,Found a bug: the dark mode toggle resets every time I refresh the checkout page. Please help ASAP.,Bug Report
167,Can I export my data if I switch to a competitor? Appreciate any update on this.,Product Inquiry
168,I keep getting timeout errors when connecting to the server. Let me know what you need from me.,Technical Issue
169,My credit card was billed $74 but my plan only costs $18. Please refund the difference. Please help ASAP.,Billing and Payments
170,My session keeps logging me out every few minutes. Appreciate any update on this.,Account Access
171,Charts fail to render when the dataset has more than 1000 rows. Let me know what you need from me.,Bug Report
172,Two-factor authentication code never gets sent to my phone. This is quite urgent.,Account Access
173,How do I close my account permanently and delete my data? Thank you!,Cancellation Request
174,I would like to cancel my subscription effective immediately. Appreciate any update on this.,Cancellation Request
175,Can I export my data if I switch to a competitor?,Product Inquiry
176,"Numbers in the report are off by a factor of 10, looks like a bug. Thanks in advance.",Bug Report
177,The search filter in the browser extension returns results from the wrong category. Let me know what you need from me.,Bug Report
178,Please consider adding keyboard shortcuts for common actions. Thank you!,Feature Request
179,I keep getting timeout errors when connecting to the server. Let me know what you need from me.,Technical Issue
180,"My order is stuck in customs, what should I do? Appreciate any update on this.",Shipping and Delivery
181,I forgot my password and the reset email never arrives. This is quite urgent.,Account Access
182,Clicking 'export' produces a corrupted CSV file. Thanks in advance.,Bug Report
183,Is there an API rate limit on the free tier? This is quite urgent.,Product Inquiry
184,My credit card was billed $128 but my plan only costs $16. Please refund the difference. Let me know what you need from me.,Billing and Payments
185,Can you explain why my monthly bill suddenly increased? Appreciate any update on this.,Billing and Payments
186,I want to update my billing address and payment method on file. This is quite urgent.,Billing and Payments
187,"Cancel my renewal, I don't want to be charged next month. Please help ASAP.",Cancellation Request
188,Do you offer a free trial before committing to a subscription? Let me know what you need from me.,Product Inquiry
189,"Numbers in the report are off by a factor of 10, looks like a bug. Thanks in advance.",Bug Report
190,Can I export my data if I switch to a competitor? Please help ASAP.,Product Inquiry
191,My order #245051 was supposed to arrive yesterday but tracking shows nothing.,Shipping and Delivery
192,the subscription plan crashes randomly and I lose all my unsaved work. This is quite urgent.,Technical Issue
193,"Someone else seems to have access to my account, please help. Please help ASAP.",Account Access
194,Can I change the shipping address for order #270555 before it ships? Please help ASAP.,Shipping and Delivery
195,Requesting cancellation and a refund for the unused period. Let me know what you need from me.,Cancellation Request
196,There's a glitch where duplicate notifications get sent for one event. Thank you!,Bug Report
197,the API crashes randomly and I lose all my unsaved work. Thank you!,Technical Issue
198,"Someone else seems to have access to my account, please help. This is quite urgent.",Account Access
199,"Numbers in the report are off by a factor of 10, looks like a bug.",Bug Report
200,Does the API support integration with Google Sheets? Thank you!,Product Inquiry
201,I want to update my billing address and payment method on file. Thanks in advance.,Billing and Payments
202,Can you add bulk export functionality to the desktop client? Thanks in advance.,Feature Request
203,What's the difference between the Pro and Enterprise plans? Appreciate any update on this.,Product Inquiry
204,My order #329258 was supposed to arrive yesterday but tracking shows nothing. Let me know what you need from me.,Shipping and Delivery
205,Can you explain why my monthly bill suddenly increased? This is quite urgent.,Billing and Payments
206,Could you integrate your dashboard with Slack for team updates? Let me know what you need from me.,Feature Request
207,Clicking 'export' produces a corrupted CSV file. This is quite urgent.,Bug Report
208,A dark theme and customizable dashboards would improve usability a lot. Appreciate any update on this.,Feature Request
209,I forgot my password and the reset email never arrives. Let me know what you need from me.,Account Access
210,How do I close my account permanently and delete my data?,Cancellation Request
211,"Numbers in the report are off by a factor of 10, looks like a bug. Appreciate any update on this.",Bug Report
212,Two-factor authentication code never gets sent to my phone. Let me know what you need from me.,Account Access
213,Please stop auto-renewal on my account starting next cycle.,Cancellation Request
214,I need to change the email address linked to my account. Thank you!,Account Access
215,Why was I charged a late fee when I paid on time? Thank you!,Billing and Payments
216,The search filter in the browser extension returns results from the wrong category. Thanks in advance.,Bug Report
217,the desktop client crashes randomly and I lose all my unsaved work. Let me know what you need from me.,Technical Issue
218,Does the desktop client support integration with Google Sheets? Thank you!,Product Inquiry
219,Video calls keep dropping after a few minutes on the subscription plan. Appreciate any update on this.,Technical Issue
220,How long does international shipping usually take?,Shipping and Delivery
221,There's a glitch where duplicate notifications get sent for one event. This is quite urgent.,Bug Report
222,Requesting a receipt for the payment made on #961722.,Billing and Payments
223,It would be great if my account settings supported dark mode. Appreciate any update on this.,Feature Request
224,"The package arrived damaged, several items were broken inside. This is quite urgent.",Shipping and Delivery
225,Requesting the ability to schedule recurring reports automatically. Please help ASAP.,Feature Request
226,Can you explain why my monthly bill suddenly increased? Let me know what you need from me.,Billing and Payments
227,The calendar widget shows the wrong timezone after daylight savings. Appreciate any update on this.,Bug Report
228,Requesting a receipt for the payment made on #969693. Let me know what you need from me.,Billing and Payments
229,Can I export my data if I switch to a competitor? Thank you!,Product Inquiry
230,"I was charged twice for my subscription this month, can someone check my invoice? Please help ASAP.",Billing and Payments
231,"The package arrived damaged, several items were broken inside. Please help ASAP.",Shipping and Delivery
232,Please stop auto-renewal on my account starting next cycle. Thank you!,Cancellation Request
233,"The package arrived damaged, several items were broken inside. Thank you!",Shipping and Delivery
234,Could you integrate the checkout page with Slack for team updates?,Feature Request
235,Is there a student discount available for your service?,Product Inquiry
236,I'm getting a 500 server error whenever I load my account settings. Thanks in advance.,Technical Issue
237,I received the wrong item in my order #131244.,Shipping and Delivery
238,Is there an API rate limit on the free tier? Let me know what you need from me.,Product Inquiry
239,A dark theme and customizable dashboards would improve usability a lot. Thanks in advance.,Feature Request
240,What languages does the subscription plan currently support? Appreciate any update on this.,Product Inquiry
241,Please consider adding keyboard shortcuts for common actions. Appreciate any update on this.,Feature Request
242,The payment failed but the amount was still deducted from my bank account. Thanks in advance.,Billing and Payments
243,the subscription plan crashes randomly and I lose all my unsaved work. Thanks in advance.,Technical Issue
244,Could you integrate the API with Slack for team updates? Please help ASAP.,Feature Request
245,your dashboard keeps freezing every time I try to open it. Thanks in advance.,Technical Issue
246,the subscription plan crashes randomly and I lose all my unsaved work. Let me know what you need from me.,Technical Issue
247,My credit card was billed $68 but my plan only costs $18. Please refund the difference. Let me know what you need from me.,Billing and Payments
248,Do you offer a free trial before committing to a subscription?,Product Inquiry
249,The page won't load and just shows a blank white screen. Please help ASAP.,Technical Issue
250,Please add multi-language support for non-English users. Please help ASAP.,Feature Request
251,Can I use the checkout page on multiple devices at the same time? Appreciate any update on this.,Product Inquiry
252,Requesting the ability to schedule recurring reports automatically. This is quite urgent.,Feature Request
253,The drag-and-drop feature stopped working after the latest update. Thank you!,Bug Report
254,Tracking says delivered but I never received the package. Thanks in advance.,Shipping and Delivery
255,Do you offer a free trial before committing to a subscription? Appreciate any update on this.,Product Inquiry
256,I need an updated invoice for order #329974 for my accounting records. Let me know what you need from me.,Billing and Payments
257,The calendar widget shows the wrong timezone after daylight savings. Thanks in advance.,Bug Report
258,The courier left the package at the wrong address. Let me know what you need from me.,Shipping and Delivery
259,How long does international shipping usually take? This is quite urgent.,Shipping and Delivery
260,Can I change the shipping address for order #383060 before it ships? This is quite urgent.,Shipping and Delivery
261,A dark theme and customizable dashboards would improve usability a lot.,Feature Request
262,The search filter in your dashboard returns results from the wrong category. This is quite urgent.,Bug Report
263,It would help to have a mobile notification setting for alerts. Please help ASAP.,Feature Request
264,How long does international shipping usually take? Let me know what you need from me.,Shipping and Delivery
265,Requesting cancellation and a refund for the unused period. Thanks in advance.,Cancellation Request
266,the desktop client keeps freezing every time I try to open it. Thank you!,Technical Issue
267,How long does international shipping usually take? This is quite urgent.,Shipping and Delivery
268,I want to downgrade my plan and stop future billing.,Cancellation Request
269,Clicking 'export' produces a corrupted CSV file. Appreciate any update on this.,Bug Report
270,How do I recover my account after losing access to my old email?,Account Access
271,Video calls keep dropping after a few minutes on your dashboard. Please help ASAP.,Technical Issue
272,"I was charged twice for my subscription this month, can someone check my invoice? Please help ASAP.",Billing and Payments
273,"I can't upload files, the progress bar gets stuck at 40%. Please help ASAP.",Technical Issue
274,My session keeps logging me out every few minutes. Thanks in advance.,Account Access
275,How long does international shipping usually take?,Shipping and Delivery
276,Can you explain why my monthly bill suddenly increased? Appreciate any update on this.,Billing and Payments
277,There's a glitch where duplicate notifications get sent for one event. Please help ASAP.,Bug Report
278,My account got locked after too many failed login attempts. Appreciate any update on this.,Account Access
279,the browser extension crashes randomly and I lose all my unsaved work. This is quite urgent.,Technical Issue
280,Charts fail to render when the dataset has more than 1000 rows. Thank you!,Bug Report
281,The drag-and-drop feature stopped working after the latest update. Let me know what you need from me.,Bug Report
282,"I was charged twice for my subscription this month, can someone check my invoice? Thank you!",Billing and Payments
283,My account got locked after too many failed login attempts.,Account Access
284,There's a glitch where duplicate notifications get sent for one event.,Bug Report
285,Please stop auto-renewal on my account starting next cycle. Please help ASAP.,Cancellation Request
286,Requesting the ability to schedule recurring reports automatically. Appreciate any update on this.,Feature Request
287,Can I export my data if I switch to a competitor?,Product Inquiry
288,Can you add bulk export functionality to the desktop client? Let me know what you need from me.,Feature Request
289,Found a bug: the dark mode toggle resets every time I refresh my account settings. This is quite urgent.,Bug Report
290,"The app is extremely slow today, is there an outage? This is quite urgent.",Technical Issue
291,Video calls keep dropping after a few minutes on the checkout page. Let me know what you need from me.,Technical Issue
292,How do I close my account permanently and delete my data? Thank you!,Cancellation Request
293,I want to downgrade my plan and stop future billing. This is quite urgent.,Cancellation Request
294,Please add multi-language support for non-English users. Let me know what you need from me.,Feature Request
295,"Please cancel order #127824, I no longer need it. Appreciate any update on this.",Cancellation Request
296,I want to downgrade my plan and stop future billing. This is quite urgent.,Cancellation Request
297,Video calls keep dropping after a few minutes on my account settings. This is quite urgent.,Technical Issue
298,"The app is extremely slow today, is there an outage? Thanks in advance.",Technical Issue
299,I received the wrong item in my order #325772. Let me know what you need from me.,Shipping and Delivery
300,"Numbers in the report are off by a factor of 10, looks like a bug. Thanks in advance.",Bug Report
301,"I was charged twice for my subscription this month, can someone check my invoice?",Billing and Payments
302,How do I close my account permanently and delete my data? Thank you!,Cancellation Request
303,There's a glitch where duplicate notifications get sent for one event. This is quite urgent.,Bug Report
304,"Cancel my renewal, I don't want to be charged next month. Thank you!",Cancellation Request
305,Please consider adding keyboard shortcuts for common actions. Thanks in advance.,Feature Request
306,The search filter in my account settings returns results from the wrong category. Appreciate any update on this.,Bug Report
307,Can I export my data if I switch to a competitor? Let me know what you need from me.,Product Inquiry
308,Can I export my data if I switch to a competitor? Appreciate any update on this.,Product Inquiry
309,What's the difference between the Pro and Enterprise plans?,Product Inquiry
310,"Someone else seems to have access to my account, please help. This is quite urgent.",Account Access
311,Two-factor authentication code never gets sent to my phone. Thanks in advance.,Account Access
312,Can I change the shipping address for order #482554 before it ships? Thank you!,Shipping and Delivery
313,Do you offer a free trial before committing to a subscription? Appreciate any update on this.,Product Inquiry
314,A dark theme and customizable dashboards would improve usability a lot. This is quite urgent.,Feature Request
315,Why was I charged a late fee when I paid on time? Thanks in advance.,Billing and Payments
316,I would like to cancel my subscription effective immediately. Thank you!,Cancellation Request
317,"I can't upload files, the progress bar gets stuck at 40%. Thanks in advance.",Technical Issue
318,Two-factor authentication code never gets sent to my phone. Thanks in advance.,Account Access
319,Found a bug: the dark mode toggle resets every time I refresh the subscription plan. Appreciate any update on this.,Bug Report
320,I forgot my password and the reset email never arrives. Appreciate any update on this.,Account Access
